cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
171050;1710508;Itacajá;TO;2022;7442;Estimativa (Spline);119;45;37.81512605042017;2022
171070;1710706;Itaguatins;TO;2022;5728;Estimativa (Spline);64;29;45.3125;2022
171090;1710904;Itapiratins;TO;2022;3818;Estimativa (Spline);49;36;73.46938775510205;2022
171110;1711100;Itaporã do Tocantins;TO;2022;2411;Estimativa (Spline);46;35;76.08695652173914;2022
171150;1711506;Jaú do Tocantins;TO;2022;3882;Estimativa (Spline);34;20;58.82352941176471;2022
171180;1711803;Juarina;TO;2022;2178;Estimativa (Spline);35;24;68.57142857142857;2022
171190;1711902;Lagoa da Confusão;TO;2022;14429;Estimativa (Spline);260;130;50.0;2022
171195;1711951;Lagoa do Tocantins;TO;2022;4450;Estimativa (Spline);75;37;49.333333333333336;2022
171200;1712009;Lajeado;TO;2022;3252;Estimativa (Spline);43;24;55.81395348837209;2022
171215;1712157;Lavandeira;TO;2022;1977;Estimativa (Spline);23;14;60.86956521739131;2022
171240;1712405;Lizarda;TO;2022;3658;Estimativa (Spline);44;21;47.72727272727273;2022
171245;1712454;Luzinópolis;TO;2022;3199;Estimativa (Spline);36;21;58.333333333333336;2022
171250;1712504;Marianópolis do Tocantins;TO;2022;5340;Estimativa (Spline);77;40;51.94805194805194;2022
171270;1712702;Mateiros;TO;2022;2816;Estimativa (Spline);49;24;48.97959183673469;2022
171280;1712801;Maurilândia do Tocantins;TO;2022;3460;Estimativa (Spline);35;17;48.57142857142857;2022
171320;1713205;Miracema do Tocantins;TO;2022;17518;Estimativa (Spline);270;160;59.25925925925925;2022
171330;1713304;Miranorte;TO;2022;13553;Estimativa (Spline);190;121;63.68421052631579;2022
171360;1713601;Monte do Carmo;TO;2022;8046;Estimativa (Spline);69;31;44.927536231884055;2022
171370;1713700;Monte Santo do Tocantins;TO;2022;2340;Estimativa (Spline);20;11;55.00000000000001;2022
171380;1713809;Palmeiras do Tocantins;TO;2022;6719;Estimativa (Spline);71;35;49.29577464788733;2022
171395;1713957;Muricilândia;TO;2022;3638;Estimativa (Spline);35;19;54.285714285714285;2022
171420;1714203;Natividade;TO;2022;9237;Estimativa (Spline);110;47;42.72727272727273;2022
171430;1714302;Nazaré;TO;2022;3810;Estimativa (Spline);61;41;67.21311475409836;2022
171488;1714880;Nova Olinda;TO;2022;11962;Estimativa (Spline);165;96;58.18181818181818;2022
171500;1715002;Nova Rosalândia;TO;2022;4296;Estimativa (Spline);35;12;34.285714285714285;2022
171510;1715101;Novo Acordo;TO;2022;4457;Estimativa (Spline);83;37;44.57831325301205;2022
171515;1715150;Novo Alegre;TO;2022;2288;Estimativa (Spline);11;7;63.63636363636363;2022
171525;1715259;Novo Jardim;TO;2022;2740;Estimativa (Spline);32;18;56.25;2022
171550;1715507;Oliveira de Fátima;TO;2022;1136;Estimativa (Spline);21;15;71.42857142857143;2022
171570;1715705;Palmeirante;TO;2022;6190;Estimativa (Spline);62;36;58.06451612903226;2022
171575;1715754;Palmeirópolis;TO;2022;7659;Estimativa (Spline);84;54;64.28571428571429;2022
171610;1716109;Paraíso do Tocantins;TO;2022;53236;Estimativa (Spline);760;478;62.89473684210526;2022
171620;1716208;Paranã;TO;2022;10462;Estimativa (Spline);141;78;55.319148936170215;2022
171630;1716307;Pau D'Arco;TO;2022;4827;Estimativa (Spline);50;22;44.0;2022
171650;1716505;Pedro Afonso;TO;2022;14176;Estimativa (Spline);222;147;66.21621621621621;2022
171660;1716604;Peixe;TO;2022;11859;Estimativa (Spline);123;76;61.78861788617886;2022
