cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_medicos;TAXA_MEDICOS;ANO;MES
171875;1718758;Rio Sono;TO;2022;6354;Estimativa (Spline);2;0.3147623544224111;2022;0
171880;1718808;Sampaio;TO;2022;4891;Estimativa (Spline);2;0.40891433244735226;2022;0
171884;1718840;Sandolândia;TO;2022;3416;Estimativa (Spline);2;0.585480093676815;2022;0
171886;1718865;Santa Fé do Araguaia;TO;2022;7725;Estimativa (Spline);2;0.2588996763754045;2022;0
171888;1718881;Santa Maria do Tocantins;TO;2022;3501;Estimativa (Spline);1;0.2856326763781777;2022;0
171889;1718899;Santa Rita do Tocantins;TO;2022;2412;Estimativa (Spline);2;0.8291873963515755;2022;0
171890;1718907;Santa Rosa do Tocantins;TO;2022;4873;Estimativa (Spline);2;0.4104247896572953;2022;0
171900;1719004;Santa Tereza do Tocantins;TO;2022;2948;Estimativa (Spline);1;0.3392130257801899;2022;0
172000;1720002;Santa Terezinha do Tocantins;TO;2022;2524;Estimativa (Spline);2;0.7923930269413629;2022;0
172010;1720101;São Bento do Tocantins;TO;2022;5550;Estimativa (Spline);1;0.18018018018018017;2022;0
172015;1720150;São Félix do Tocantins;TO;2022;1642;Estimativa (Spline);2;1.2180267965895248;2022;0
172020;1720200;São Miguel do Tocantins;TO;2022;12696;Estimativa (Spline);2;0.1575299306868305;2022;0
172025;1720259;São Salvador do Tocantins;TO;2022;3051;Estimativa (Spline);2;0.6555227794165848;2022;0
172030;1720309;São Sebastião do Tocantins;TO;2022;4869;Estimativa (Spline);2;0.41076196344218524;2022;0
172049;1720499;São Valério;TO;2022;3872;Estimativa (Spline);2;0.5165289256198348;2022;0
172065;1720655;Silvanópolis;TO;2022;5453;Estimativa (Spline);2;0.36677058499908305;2022;0
172080;1720804;Sítio Novo do Tocantins;TO;2022;9156;Estimativa (Spline);2;0.218435998252512;2022;0
172085;1720853;Sucupira;TO;2022;1986;Estimativa (Spline);2;1.0070493454179255;2022;0
172090;1720903;Taguatinga;TO;2022;16830;Estimativa (Spline);2;0.11883541295306001;2022;0
172093;1720937;Taipas do Tocantins;TO;2022;2186;Estimativa (Spline);1;0.4574565416285453;2022;0
172097;1720978;Talismã;TO;2022;2817;Estimativa (Spline);2;0.7099751508697195;2022;0
172100;1721000;Palmas;TO;2022;319480;Estimativa (Spline);2;0.006260172780768749;2022;0
172110;1721109;Tocantínia;TO;2022;7748;Estimativa (Spline);2;0.2581311306143521;2022;0
172120;1721208;Tocantinópolis;TO;2022;22846;Estimativa (Spline);2;0.08754267705506434;2022;0
172125;1721257;Tupirama;TO;2022;1978;Estimativa (Spline);2;1.0111223458038423;2022;0
172130;1721307;Tupiratins;TO;2022;2745;Estimativa (Spline);1;0.36429872495446264;2022;0
172208;1722081;Wanderlândia;TO;2022;11729;Estimativa (Spline);2;0.1705175206752494;2022;0
172210;1722107;Xambioá;TO;2022;11416;Estimativa (Spline);2;0.17519271198318148;2022;0
