cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;prenatal_7mais;COBERTURA_PRENATAL;ANO
171525;1715259;Novo Jardim;TO;2022;2740;Estimativa (Spline);32;16;50.0;2022
171550;1715507;Oliveira de Fátima;TO;2022;1136;Estimativa (Spline);21;19;90.47619047619048;2022
171570;1715705;Palmeirante;TO;2022;6190;Estimativa (Spline);62;35;56.451612903225815;2022
171575;1715754;Palmeirópolis;TO;2022;7659;Estimativa (Spline);84;71;84.52380952380952;2022
171610;1716109;Paraíso do Tocantins;TO;2022;53236;Estimativa (Spline);760;593;78.02631578947368;2022
171620;1716208;Paranã;TO;2022;10462;Estimativa (Spline);141;99;70.2127659574468;2022
171630;1716307;Pau D'Arco;TO;2022;4827;Estimativa (Spline);50;40;80.0;2022
171650;1716505;Pedro Afonso;TO;2022;14176;Estimativa (Spline);222;146;65.76576576576578;2022
171660;1716604;Peixe;TO;2022;11859;Estimativa (Spline);123;96;78.04878048780488;2022
171665;1716653;Pequizeiro;TO;2022;5526;Estimativa (Spline);64;53;82.8125;2022
171670;1716703;Colméia;TO;2022;8134;Estimativa (Spline);106;83;78.30188679245283;2022
171700;1717008;Pindorama do Tocantins;TO;2022;4421;Estimativa (Spline);62;42;67.74193548387096;2022
171720;1717206;Piraquê;TO;2022;2973;Estimativa (Spline);33;30;90.9090909090909;2022
171750;1717503;Pium;TO;2022;7854;Estimativa (Spline);95;69;72.63157894736842;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;2022;4558;Estimativa (Spline);41;34;82.92682926829268;2022
171790;1717909;Ponte Alta do Tocantins;TO;2022;8218;Estimativa (Spline);104;76;73.07692307692307;2022
171800;1718006;Porto Alegre do Tocantins;TO;2022;3200;Estimativa (Spline);37;25;67.56756756756756;2022
171820;1718204;Porto Nacional;TO;2022;55208;Estimativa (Spline);1025;729;71.1219512195122;2022
171830;1718303;Praia Norte;TO;2022;8694;Estimativa (Spline);91;64;70.32967032967034;2022
171840;1718402;Presidente Kennedy;TO;2022;3608;Estimativa (Spline);33;29;87.87878787878788;2022
171845;1718451;Pugmil;TO;2022;2721;Estimativa (Spline);29;23;79.3103448275862;2022
171850;1718501;Recursolândia;TO;2022;4341;Estimativa (Spline);66;51;77.27272727272727;2022
171855;1718550;Riachinho;TO;2022;4691;Estimativa (Spline);59;42;71.1864406779661;2022
171865;1718659;Rio da Conceição;TO;2022;2205;Estimativa (Spline);24;17;70.83333333333334;2022
171870;1718709;Rio dos Bois;TO;2022;2893;Estimativa (Spline);32;29;90.625;2022
171875;1718758;Rio Sono;TO;2022;6354;Estimativa (Spline);63;47;74.60317460317461;2022
171880;1718808;Sampaio;TO;2022;4891;Estimativa (Spline);82;62;75.60975609756098;2022
171884;1718840;Sandolândia;TO;2022;3416;Estimativa (Spline);63;40;63.49206349206349;2022
171886;1718865;Santa Fé do Araguaia;TO;2022;7725;Estimativa (Spline);121;93;76.85950413223141;2022
171888;1718881;Santa Maria do Tocantins;TO;2022;3501;Estimativa (Spline);47;32;68.08510638297872;2022
171889;1718899;Santa Rita do Tocantins;TO;2022;2412;Estimativa (Spline);27;23;85.18518518518519;2022
171890;1718907;Santa Rosa do Tocantins;TO;2022;4873;Estimativa (Spline);73;58;79.45205479452055;2022
171900;1719004;Santa Tereza do Tocantins;TO;2022;2948;Estimativa (Spline);50;45;90.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2022;2524;Estimativa (Spline);35;33;94.28571428571428;2022
172010;1720101;São Bento do Tocantins;TO;2022;5550;Estimativa (Spline);102;80;78.43137254901961;2022
172015;1720150;São Félix do Tocantins;TO;2022;1642;Estimativa (Spline);18;9;50.0;2022
172020;1720200;São Miguel do Tocantins;TO;2022;12696;Estimativa (Spline);145;93;64.13793103448275;2022
172025;1720259;São Salvador do Tocantins;TO;2022;3051;Estimativa (Spline);38;28;73.68421052631578;2022
172030;1720309;São Sebastião do Tocantins;TO;2022;4869;Estimativa (Spline);62;52;83.87096774193549;2022
172049;1720499;São Valério;TO;2022;3872;Estimativa (Spline);53;43;81.13207547169812;2022
172065;1720655;Silvanópolis;TO;2022;5453;Estimativa (Spline);76;52;68.42105263157895;2022
172080;1720804;Sítio Novo do Tocantins;TO;2022;9156;Estimativa (Spline);127;101;79.52755905511812;2022
172085;1720853;Sucupira;TO;2022;1986;Estimativa (Spline);14;13;92.85714285714286;2022
172090;1720903;Taguatinga;TO;2022;16830;Estimativa (Spline);175;123;70.28571428571428;2022
172093;1720937;Taipas do Tocantins;TO;2022;2186;Estimativa (Spline);28;20;71.42857142857143;2022
172097;1720978;Talismã;TO;2022;2817;Estimativa (Spline);28;19;67.85714285714286;2022
172100;1721000;Palmas;TO;2022;319480;Estimativa (Spline);4762;3661;76.87946241075178;2022
172110;1721109;Tocantínia;TO;2022;7748;Estimativa (Spline);170;65;38.23529411764706;2022
172120;1721208;Tocantinópolis;TO;2022;22846;Estimativa (Spline);331;257;77.64350453172206;2022
172125;1721257;Tupirama;TO;2022;1978;Estimativa (Spline);24;17;70.83333333333334;2022
172130;1721307;Tupiratins;TO;2022;2745;Estimativa (Spline);23;16;69.56521739130434;2022
172208;1722081;Wanderlândia;TO;2022;11729;Estimativa (Spline);120;87;72.5;2022
172210;1722107;Xambioá;TO;2022;11416;Estimativa (Spline);156;107;68.58974358974359;2022
